
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     framestack4_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,771,211 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  Frame stack:  4 frames
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/framestack4_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/framestack4_s3/config.json

  step= 140,880  1 eps: Mayar:1L P1  ret=  39.00  len= 1023  WR[Coac=0%]
  step= 142,608  1 eps: CoacA:1L P0  ret=  28.20  len=  861  WR[Coac=0%]
  step= 142,704  1 eps: CoacA:1L P0  ret=  45.00  len= 1073  WR[Coac=0%]
  step= 142,824  1 eps: CoacA:1L P0  ret=  19.20  len=  958  WR[Coac=0%]
  step= 143,448  1 eps: CoacA:1L P0  ret=   7.20  len=  867  WR[Coac=0%]
  step= 143,640  1 eps: Mayar:1L P1  ret=  45.00  len= 1175  WR[Coac=0% Maya=0%]
  step= 144,144  1 eps: Mayar:1L P1  ret=   3.20  len=  859  WR[Coac=0% Maya=0%]
  step= 144,552  1 eps: CoacA:1L P0  ret=   7.20  len=  819  WR[Coac=0% Maya=0%]
  step= 145,320  1 eps: Worke:1L P0  ret=   4.20  len=  535  WR[Coac=0% Maya=0%]
  step= 146,280  1 eps: Worke:1L P0  ret=   1.20  len=  460  WR[Coac=0% Maya=0%]
  step= 147,456  1 eps: CoacA:1L P0  ret=  32.20  len=  897  WR[Coac=0% Maya=0%]
  step= 148,728  1 eps: CoacA:1L P0  ret=  48.40  len=  920  WR[Coac=0% Maya=0%]
  step= 150,816  1 eps: CoacA:1L P0  ret=  43.20  len=  900  WR[Coac=0% Maya=0%]
  step= 151,704  1 eps: Mayar:1L P1  ret=  66.00  len= 1126  WR[Coac=0% Maya=0%]
  step= 157,008  1 eps: CoacA:1L P1  ret=  -6.80  len=  753  WR[Coac=0% Maya=0%]
  step= 157,224  1 eps: Mayar:1L P1  ret=  44.60  len= 1196  WR[Coac=0% Maya=0%]
  step= 157,464  1 eps: Light:1L P1  ret=  -2.80  len=  774  WR[Coac=0% Maya=0%]
  step= 157,848  1 eps: Light:1L P1  ret=  17.20  len=  854  WR[Coac=0% Maya=0%]
  step= 159,528  1 eps: Mayar:1L P1  ret=  67.00  len= 1421  WR[Coac=0% Maya=0%]
  step= 159,816  1 eps: Mayar:1L P0  ret=  -6.80  len=  789  WR[Coac=0% Maya=0%]
  step= 160,440  1 eps: Mayar:1L P0  ret=   2.20  len=  847  WR[Coac=0% Maya=0%]
  step= 161,592  1 eps: CoacA:1L P1  ret=  38.20  len=  791  WR[Coac=0% Maya=0%]
  step= 162,456  1 eps: CoacA:1L P1  ret=  10.20  len=  746  WR[Coac=0% Maya=0%]
  step= 162,840  1 eps: Mayar:1L P0  ret=  30.00  len= 1063  WR[Coac=0% Maya=0%]
  step= 162,960  1 eps: CoacA:1L P1  ret=  23.20  len=  844  WR[Coac=0% Maya=0%]
  step= 163,128  1 eps: CoacA:1L P1  ret=  30.00  len=  820  WR[Coac=0% Maya=0%]
  step= 163,416  1 eps: CoacA:1L P1  ret=  16.20  len=  858  WR[Coac=0% Maya=0%]
  step= 165,720  1 eps: Rando:1W P1  ret= 175.00  len= 2905  WR[Coac=0% Maya=0%]
  step= 165,936  1 eps: Mayar:1L P0  ret=  24.20  len=  908  WR[Coac=0% Maya=0%]
  step= 166,056  1 eps: Mayar:1L P0  ret=  54.00  len= 1156  WR[Coac=0% Maya=0%]
  step= 166,968  1 eps: CoacA:1L P1  ret=  10.20  len=  760  WR[Coac=0% Maya=0%]
  step= 169,416  1 eps: CoacA:1L P1  ret=   7.20  len=  775  WR[Coac=0% Maya=0%]
  step= 170,280  1 eps: Worke:1L P1  ret=  55.00  len= 1040  WR[Coac=0% Maya=0%]
  step= 170,712  1 eps: CoacA:1L P1  ret=  49.20  len=  969  WR[Coac=0% Maya=0%]
  step= 173,856  1 eps: Light:1L P0  ret=  -2.80  len=  683  WR[Coac=0% Maya=0%]
  step= 175,536  1 eps: Mayar:1L P0  ret=  77.00  len= 1329  WR[Coac=0% Maya=0%]
  step= 177,600  1 eps: Worke:1L P1  ret=  65.00  len= 1305  WR[Coac=0% Maya=0%]
  step= 178,296  1 eps: Rando:1W P1  ret= 203.00  len= 3429  WR[Coac=0% Maya=0%]
  step= 178,800  1 eps: CoacA:1L P0  ret=   2.20  len=  908  WR[Coac=0% Maya=0%]
  step= 178,920  1 eps: Light:1L P0  ret=  34.20  len=  878  WR[Coac=0% Maya=0%]
  step= 179,088  1 eps: Mayar:1L P1  ret=  -1.80  len=  803  WR[Coac=0% Maya=0%]
  step= 179,688  1 eps: Mayar:1L P0  ret=  -4.80  len=  840  WR[Coac=0% Maya=0%]
  step= 181,248  1 eps: CoacA:1L P0  ret=  -3.80  len=  783  WR[Coac=0% Maya=0%]
  step= 181,488  1 eps: Mayar:1L P1  ret=  25.20  len=  877  WR[Coac=0% Maya=0%]
  step= 183,384  1 eps: CoacA:1L P0  ret=  37.00  len=  908  WR[Coac=0% Maya=0%]
  step= 184,104  1 eps: CoacA:1L P0  ret=  10.20  len=  874  WR[Coac=0% Maya=0%]
  step= 184,752  1 eps: Mayar:1L P1  ret=  28.20  len=  913  WR[Coac=0% Maya=0%]
  step= 185,352  1 eps: CoacA:1L P0  ret=  41.00  len=  914  WR[Coac=0% Maya=0%]
  step= 186,216  1 eps: CoacA:1L P0  ret=  -5.80  len=  802  WR[Coac=0% Maya=0%]
  step= 189,336  1 eps: CoacA:1L P0  ret=  35.20  len= 1099  WR[Coac=0% Maya=0%]
  step= 190,536  1 eps: Mayar:1L P0  ret= 112.20  len= 1618  WR[Coac=0% Maya=0%]
  step= 191,040  1 eps: CoacA:1L P0  ret=  23.20  len=  847  WR[Coac=0% Maya=0%]
  step= 194,856  1 eps: CoacA:1L P0  ret=  64.80  len= 1060  WR[Coac=0% Maya=0%]
  step= 196,776  1 eps: Light:1L P1  ret=  44.20  len=  955  WR[Coac=0% Maya=0%]
  step= 197,328  1 eps: Mayar:1L P0  ret=  94.00  len= 1671  WR[Coac=0% Maya=0%]
  step= 198,360  1 eps: Worke:1L P0  ret=  26.20  len=  865  WR[Coac=0% Maya=0%]
  step= 198,456  1 eps: CoacA:1L P1  ret=  -0.80  len=  717  WR[Coac=0% Maya=0%]
  step= 198,816  1 eps: Mayar:1L P0  ret=  12.20  len=  822  WR[Coac=0% Maya=0%]
  step= 199,176  1 eps: Mayar:1L P1  ret=  59.20  len= 1380  WR[Coac=0% Maya=0%]
  step= 200,208  1 eps: Light:1L P1  ret=  19.20  len=  887  WR[Coac=0% Maya=0%]
  step= 200,400  1 eps: CoacA:1L P1  ret=  41.20  len=  900  WR[Coac=0% Maya=0%]
  step= 201,552  1 eps: Mayar:1L P1  ret=  51.00  len= 1084  WR[Coac=0% Maya=0%]
  step= 201,648  1 eps: Mayar:1L P1  ret=   0.20  len=  915  WR[Coac=0% Maya=0%]
  step= 204,552  1 eps: CoacA:1L P1  ret=  20.00  len=  800  WR[Coac=0% Maya=0%]
  step= 205,416  1 eps: CoacA:1L P1  ret=  34.00  len=  800  WR[Coac=0% Maya=0%]
  step= 205,656  1 eps: CoacA:1L P1  ret=  35.00  len=  928  WR[Coac=0% Maya=0%]
  step= 205,920  1 eps: Mayar:1L P1  ret=  98.00  len= 1666  WR[Coac=0% Maya=0%]
  step= 206,424  1 eps: CoacA:1L P1  ret=  54.20  len=  930  WR[Coac=0% Maya=0%]
  step= 206,520  1 eps: Mayar:1L P0  ret=  42.20  len= 1043  WR[Coac=0% Maya=0%]
  step= 209,040  1 eps: Worke:1L P1  ret=  -1.80  len=  445  WR[Coac=0% Maya=0%]
  step= 210,888  1 eps: CoacA:1L P1  ret=  43.20  len=  898  WR[Coac=0% Maya=0%]
  step= 211,848  1 eps: CoacA:1L P1  ret=  43.00  len=  867  WR[Coac=0% Maya=0%]
  step= 214,248  1 eps: CoacA:1L P1  ret=  30.20  len=  808  WR[Coac=0% Maya=0%]
  step= 214,824  1 eps: Light:1L P0  ret=  -3.80  len=  752  WR[Coac=0% Maya=0%]
  step= 216,936  1 eps: Mayar:1L P0  ret=  79.00  len= 1341  WR[Coac=0% Maya=0%]
  step= 217,512  1 eps: Light:1L P0  ret=   0.20  len=  721  WR[Coac=0% Maya=0%]
  step= 218,424  1 eps: Mayar:1L P1  ret=  15.20  len=  817  WR[Coac=0% Maya=0%]
  step= 219,288  1 eps: Mayar:1L P1  ret=  13.20  len=  915  WR[Coac=0% Maya=0%]
  step= 220,896  1 eps: CoacA:1L P0  ret=  32.00  len=  935  WR[Coac=0% Maya=0%]
  step= 223,104  1 eps: CoacA:1L P0  ret=  45.20  len=  946  WR[Coac=0% Maya=0%]
  step= 223,176  1 eps: Mayar:1L P0  ret=  17.20  len=  897  WR[Coac=0% Maya=0%]
  step= 225,024  1 eps: Mayar:1L P1  ret=  93.00  len= 1437  WR[Coac=0% Maya=0%]
  step= 225,960  1 eps: CoacA:1L P0  ret=  25.20  len=  892  WR[Coac=0% Maya=0%]
  step= 226,248  1 eps: Mayar:1L P0  ret=  55.20  len= 1128  WR[Coac=0% Maya=0%]
  step= 226,440  1 eps: CoacA:1L P0  ret=  47.20  len=  876  WR[Coac=0% Maya=0%]
  step= 227,256  1 eps: Mayar:1L P0  ret=  35.20  len=  889  WR[Coac=0% Maya=0%]
  step= 227,448  1 eps: CoacA:1L P0  ret=  38.00  len=  908  WR[Coac=0% Maya=0%]
  step= 229,200  1 eps: Worke:1L P0  ret= 172.00  len= 2455  WR[Coac=0% Maya=0%]
  step= 229,680  1 eps: Mayar:1L P0  ret=  25.20  len= 1172  WR[Coac=0% Maya=0%]
  step= 230,544  1 eps: CoacA:1L P0  ret=   8.20  len=  779  WR[Coac=0% Maya=0%]
  step= 231,192  1 eps: CoacA:1L P0  ret=  57.40  len= 1032  WR[Coac=0% Maya=0%]
  step= 232,056  1 eps: Mayar:1L P1  ret=  57.00  len= 1064  WR[Coac=0% Maya=0%]
  step= 232,200  1 eps: Worke:1L P0  ret=  56.20  len=  965  WR[Coac=0% Maya=0%]
  step= 233,664  1 eps: CoacA:1L P0  ret=  44.20  len=  949  WR[Coac=0% Maya=0%]
  step= 235,608  1 eps: CoacA:1L P0  ret=  17.20  len=  890  WR[Coac=0% Maya=0%]
  step= 236,136  1 eps: Light:1L P1  ret=  41.20  len=  888  WR[Coac=0% Maya=0%]
  step= 238,032  1 eps: Light:1L P1  ret=  33.20  len=  855  WR[Coac=0% Maya=0%]
  step= 240,120  1 eps: CoacA:1L P1  ret=  24.00  len=  801  WR[Coac=0% Maya=0%]
  step= 241,992  1 eps: CoacA:1L P1  ret=  34.60  len=  787  WR[Coac=0% Maya=0%]
  step= 242,424  1 eps: Mayar:1L P0  ret=  20.20  len=  964  WR[Coac=0% Maya=0%]
  step= 242,880  1 eps: Worke:1L P1  ret=   7.20  len=  445  WR[Coac=0% Maya=0%]
  step= 244,056  1 eps: Mayar:1L P0  ret=  44.20  len= 1068  WR[Coac=0% Maya=0%]
  step= 244,560  1 eps: Mayar:1L P0  ret=  17.20  len=  814  WR[Coac=0% Maya=0%]
  step= 244,608  1 eps: Mayar:1L P1  ret=  26.20  len=  893  WR[Coac=0% Maya=0%]
  step= 245,376  1 eps: CoacA:1L P1  ret=  21.20  len=  809  WR[Coac=0% Maya=0%]
  step= 246,768  1 eps: CoacA:1L P1  ret=  23.00  len=  805  WR[Coac=0% Maya=0%]
  step= 247,440  1 eps: Mayar:1L P1  ret=  54.00  len= 1271  WR[Coac=0% Maya=0%]
  step= 248,448  1 eps: Mayar:1L P1  ret=  13.20  len=  883  WR[Coac=0% Maya=0%]
  step= 248,520  1 eps: Worke:1L P1  ret=  27.20  len=  805  WR[Coac=0% Maya=0%]
