
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_augment_symmetry_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Augment:      symmetry (random H/V flip)
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_augment_symmetry_s3/config.json

  step= 109,824  1 eps: Mayar:1L P0  ret=  36.00  len=  913  WR[warming up...]
  step= 110,904  1 eps: Mayar:1L P0  ret=  36.00  len= 1026  WR[warming up...]
  step= 114,768  1 eps: Mayar:1L P0  ret=  15.20  len=  888  WR[warming up...]
  step= 116,544  1 eps: CoacA:1L P1  ret=  23.00  len=  786  WR[warming up...]
  step= 117,120  1 eps: CoacA:1L P1  ret=  29.00  len=  892  WR[warming up...]
  step= 118,848  1 eps: POLig:1L P1  ret=  19.20  len=  835  WR[warming up...]
  step= 119,928  1 eps: Mayar:1L P0  ret=  22.00  len= 1091  WR[warming up...]
  step= 120,384  1 eps: CoacA:1L P1  ret=  18.20  len=  809  WR[warming up...]
  step= 121,080  1 eps: Mayar:1L P1  ret=   2.20  len=  710  WR[warming up...]
  step= 121,560  1 eps: POWor:1L P1  ret=  12.00  len=  755  WR[warming up...]
  step= 121,704  1 eps: POLig:1L P1  ret=   4.20  len=  690  WR[warming up...]
  step= 121,824  1 eps: CoacA:1L P1  ret=  35.00  len=  869  WR[warming up...]
  step= 122,088  1 eps: CoacA:1L P1  ret=  17.00  len=  826  WR[Coac=0%]
  step= 122,472  1 eps: Mayar:1L P0  ret=  17.20  len=  915  WR[Coac=0%]
  step= 122,664  1 eps: CoacA:1L P1  ret=  36.00  len=  821  WR[Coac=0%]
  step= 124,224  1 eps: CoacA:1L P1  ret=  31.00  len=  898  WR[Coac=0%]
  step= 124,416  1 eps: Mayar:1L P0  ret=  57.00  len= 1188  WR[Coac=0%]
  step= 124,752  1 eps: Mayar:1L P0  ret=  50.00  len= 1395  WR[Coac=0%]
  step= 126,024  1 eps: CoacA:1L P1  ret=  37.00  len=  898  WR[Coac=0%]
  step= 126,576  1 eps: CoacA:1L P1  ret=   8.20  len=  739  WR[Coac=0%]
  step= 127,320  1 eps: POWor:1L P1  ret=  35.00  len=  790  WR[Coac=0%]
