
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_opponent_modeling_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,733,033 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Aux task:     opponent_modeling (coef=0.01)
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_opponent_modeling_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_opponent_modeling_s1/config.json

  step= 112,560  1 eps: Mayar:1L  ret=  47.00  len= 1034  WR[warming up...]
  step= 118,752  1 eps: Mayar:1L  ret=  44.20  len= 1055  WR[warming up...]
  step= 118,992  1 eps: CoacA:1L  ret=   2.20  len=  781  WR[warming up...]
  step= 119,088  1 eps: POLig:1L  ret=   2.20  len=  713  WR[warming up...]
  step= 119,256  1 eps: CoacA:1L  ret=  19.00  len=  850  WR[warming up...]
  step= 122,304  1 eps: CoacA:1L  ret=  -3.80  len=  765  WR[warming up...]
  step= 122,472  1 eps: CoacA:1L  ret=  36.20  len=  866  WR[warming up...]
  step= 123,840  1 eps: CoacA:1L  ret=  21.00  len=  805  WR[Coac=0%]
  step= 124,488  1 eps: Mayar:1L  ret=  10.20  len=  787  WR[Coac=0%]
  step= 125,664  1 eps: Mayar:1L  ret=  36.00  len= 1054  WR[Coac=0%]
  step= 126,024  1 eps: Mayar:1L  ret=   5.00  len=  967  WR[Coac=0%]
  step= 126,672  1 eps: Mayar:1L  ret=  56.00  len= 1125  WR[Coac=0%]
  step= 126,912  1 eps: CoacA:1L  ret=   3.00  len=  785  WR[Coac=0%]
  step= 127,056  1 eps: CoacA:1L  ret=   7.20  len=  753  WR[Coac=0%]
  step= 127,704  1 eps: Mayar:1L  ret=   3.20  len=  876  WR[Coac=0%]
  step= 128,472  1 eps: CoacA:1L  ret=  29.00  len=  877  WR[Coac=0%]
  step= 129,000  1 eps: CoacA:1L  ret=  30.20  len= 1013  WR[Coac=0%]
  step= 129,312  1 eps: Mayar:1L  ret=  56.00  len= 1625  WR[Coac=0%]
  step= 130,680  1 eps: POWor:1L  ret=  85.00  len= 1230  WR[Coac=0%]
  step= 133,872  1 eps: POLig:1L  ret=  51.20  len= 1033  WR[Coac=0%]
  step= 137,616  1 eps: CoacA:1L  ret=  12.20  len=  765  WR[Coac=0%]
  step= 137,784  1 eps: Mayar:1L  ret=  60.00  len= 1051  WR[Coac=0%]
  step= 141,192  1 eps: CoacA:1L  ret=  42.00  len=  925  WR[Coac=0%]
  step= 141,888  1 eps: Mayar:1L  ret=  40.00  len=  964  WR[Coac=0%]
  step= 142,200  2 eps: POWor:2L  ret=  77.10  len= 1415  WR[Coac=0%]
  step= 142,752  1 eps: Mayar:1L  ret=  53.20  len= 1378  WR[Coac=0% Maya=0%]
  step= 143,352  1 eps: POLig:1L  ret=  62.20  len= 1011  WR[Coac=0% Maya=0%]
  step= 144,000  1 eps: CoacA:1L  ret=  12.20  len=  904  WR[Coac=0% Maya=0%]
  step= 145,560  1 eps: CoacA:1L  ret=  50.20  len=  962  WR[Coac=0% Maya=0%]
  step= 147,096  1 eps: CoacA:1L  ret=  20.20  len=  835  WR[Coac=0% Maya=0%]
  step= 147,720  1 eps: Mayar:1L  ret=  51.00  len=  968  WR[Coac=0% Maya=0%]
  step= 147,864  1 eps: CoacA:1L  ret=  49.00  len= 1001  WR[Coac=0% Maya=0%]
  step= 149,136  1 eps: Mayar:1L  ret=  17.20  len=  893  WR[Coac=0% Maya=0%]
  step= 149,664  1 eps: CoacA:1L  ret=  13.20  len=  861  WR[Coac=0% Maya=0%]
  step= 149,760  1 eps: CoacA:1L  ret=  37.00  len=  887  WR[Coac=0% Maya=0%]
  step= 150,288  1 eps: Mayar:1L  ret=  43.20  len= 1011  WR[Coac=0% Maya=0%]
  step= 150,840  1 eps: CoacA:1L  ret=  43.20  len=  997  WR[Coac=0% Maya=0%]
  step= 152,952  1 eps: POLig:1L  ret=   3.20  len=  795  WR[Coac=0% Maya=0%]
  step= 154,728  1 eps: Mayar:1L  ret=  59.00  len= 1169  WR[Coac=0% Maya=0%]
  step= 154,800  1 eps: POWor:1L  ret=  -1.80  len=  525  WR[Coac=0% Maya=0%]
  step= 155,184  1 eps: Mayar:1L  ret=  59.20  len= 1230  WR[Coac=0% Maya=0%]
  step= 158,136  1 eps: Mayar:1L  ret=  60.00  len= 1201  WR[Coac=0% Maya=0%]
  step= 158,856  1 eps: CoacA:1L  ret=  26.20  len=  885  WR[Coac=0% Maya=0%]
  step= 160,200  1 eps: CoacA:1L  ret=   0.20  len=  792  WR[Coac=0% Maya=0%]
  step= 161,160  1 eps: POWor:1L  ret=  22.00  len=  790  WR[Coac=0% Maya=0%]
  step= 161,256  1 eps: Mayar:1L  ret=  49.00  len=  978  WR[Coac=0% Maya=0%]
  step= 161,808  1 eps: POLig:1L  ret=   0.20  len=  769  WR[Coac=0% Maya=0%]
  step= 164,136  1 eps: Rando:1W  ret= 176.00  len= 2839  WR[Coac=0% Maya=0%]
  step= 164,184  1 eps: CoacA:1L  ret=  34.00  len=  841  WR[Coac=0% Maya=0%]
  step= 164,424  1 eps: CoacA:1L  ret=  -2.80  len=  722  WR[Coac=0% Maya=0%]
  step= 167,016  1 eps: Mayar:1L  ret=   7.20  len=  804  WR[Coac=0% Maya=0%]
  step= 167,040  1 eps: CoacA:1L  ret=  20.20  len=  895  WR[Coac=0% Maya=0%]
  step= 168,168  1 eps: CoacA:1L  ret=  11.00  len=  767  WR[Coac=0% Maya=0%]
  step= 169,392  1 eps: Mayar:1L  ret=   2.20  len=  844  WR[Coac=0% Maya=0%]
  step= 169,848  1 eps: CoacA:1L  ret=   0.20  len=  841  WR[Coac=0% Maya=0%]
  step= 169,896  1 eps: CoacA:1L  ret=  37.00  len=  918  WR[Coac=0% Maya=0%]
  step= 170,160  1 eps: CoacA:1L  ret=  29.00  len=  805  WR[Coac=0% Maya=0%]
  step= 170,808  1 eps: POLig:1L  ret=   7.20  len=  744  WR[Coac=0% Maya=0%]
  step= 172,344  1 eps: Mayar:1L  ret=  46.00  len= 1233  WR[Coac=0% Maya=0%]
  step= 173,160  1 eps: POWor:1L  ret=  31.00  len=  765  WR[Coac=0% Maya=0%]
  step= 173,952  1 eps: Mayar:1L  ret=  34.20  len=  986  WR[Coac=0% Maya=0%]
  step= 176,040  2 eps: Mayar:2L  ret=  16.70  len=  807  WR[Coac=0% Maya=0%]
  step= 176,496  1 eps: Mayar:1L  ret=  89.20  len= 1442  WR[Coac=0% Maya=0%]
  step= 180,264  1 eps: CoacA:1L  ret=  30.20  len=  892  WR[Coac=0% Maya=0%]
  step= 182,568  1 eps: CoacA:1L  ret=  13.20  len=  932  WR[Coac=0% Maya=0%]
  step= 183,312  1 eps: Mayar:1L  ret=  21.20  len=  919  WR[Coac=0% Maya=0%]
  step= 183,720  1 eps: POWor:1L  ret=  57.20  len=  940  WR[Coac=0% Maya=0%]
  step= 184,296  1 eps: CoacA:1L  ret=  -1.80  len=  828  WR[Coac=0% Maya=0%]
  step= 184,848  1 eps: POLig:1L  ret=  47.00  len=  960  WR[Coac=0% Maya=0%]
  step= 186,600  1 eps: Mayar:1L  ret=  78.00  len= 1328  WR[Coac=0% Maya=0%]
  step= 186,648  1 eps: CoacA:1L  ret=  36.20  len=  936  WR[Coac=0% Maya=0%]
  step= 188,400  1 eps: POWor:1L  ret=  16.00  len=  635  WR[Coac=0% Maya=0%]
  step= 188,976  1 eps: CoacA:1L  ret=  38.00  len=  914  WR[Coac=0% Maya=0%]
  step= 190,680  1 eps: CoacA:1L  ret=  36.00  len=  938  WR[Coac=0% Maya=0%]
  step= 190,872  1 eps: Mayar:1L  ret=  34.20  len=  895  WR[Coac=0% Maya=0%]
  step= 191,448  1 eps: CoacA:1L  ret=  38.00  len=  898  WR[Coac=0% Maya=0%]
  step= 191,544  1 eps: POLig:1L  ret=  39.00  len=  864  WR[Coac=0% Maya=0%]
  step= 191,640  1 eps: CoacA:1L  ret=  14.20  len=  895  WR[Coac=0% Maya=0%]
  step= 192,000  1 eps: Rando:1D  ret= 167.00  len= 4000  WR[Coac=0% Maya=0%]
  step= 192,528  1 eps: CoacA:1L  ret=  32.20  len=  945  WR[Coac=0% Maya=0%]
  step= 192,912  1 eps: Mayar:1L  ret=  45.20  len= 1079  WR[Coac=0% Maya=0%]
  step= 194,880  1 eps: POWor:1L  ret=  -3.80  len=  465  WR[Coac=0% Maya=0%]
  step= 201,384  1 eps: Mayar:1L  ret=  54.00  len= 1210  WR[Coac=0% Maya=0%]
  step= 202,056  1 eps: CoacA:1L  ret=  36.00  len=  908  WR[Coac=0% Maya=0%]
  step= 203,040  1 eps: CoacA:1L  ret=  25.00  len=  853  WR[Coac=0% Maya=0%]
  step= 203,136  1 eps: CoacA:1L  ret=  33.00  len=  785  WR[Coac=0% Maya=0%]
  step= 203,544  1 eps: CoacA:1L  ret=  -6.80  len=  704  WR[Coac=0% Maya=0%]
  step= 203,640  1 eps: Mayar:1L  ret=  85.20  len= 1237  WR[Coac=0% Maya=0%]
  step= 205,080  1 eps: POWor:1L  ret=  -0.80  len=  425  WR[Coac=0% Maya=0%]
  step= 205,560  1 eps: Mayar:1L  ret=  72.00  len= 1230  WR[Coac=0% Maya=0%]
  step= 206,856  1 eps: Mayar:1L  ret=  59.00  len= 1284  WR[Coac=0% Maya=0%]
  step= 207,936  1 eps: Mayar:1L  ret=  56.00  len= 1026  WR[Coac=0% Maya=0%]
  step= 208,536  1 eps: POLig:1L  ret=  10.20  len=  708  WR[Coac=0% Maya=0%]
  step= 208,944  1 eps: POLig:1L  ret=  38.00  len= 1004  WR[Coac=0% Maya=0%]
  step= 209,184  1 eps: CoacA:1L  ret=   1.20  len=  739  WR[Coac=0% Maya=0%]
  step= 209,400  1 eps: CoacA:1L  ret=  12.20  len=  740  WR[Coac=0% Maya=0%]
  step= 211,296  1 eps: CoacA:1L  ret=  50.20  len=  930  WR[Coac=0% Maya=0%]
  step= 211,464  1 eps: CoacA:1L  ret=  19.20  len=  866  WR[Coac=0% Maya=0%]
  step= 212,352  1 eps: CoacA:1L  ret=  31.00  len=  826  WR[Coac=0% Maya=0%]
  step= 213,960  1 eps: POWor:1L  ret=  -3.80  len=  370  WR[Coac=0% Maya=0%]
  step= 215,568  1 eps: Mayar:1L  ret=  85.00  len= 1628  WR[Coac=0% Maya=0%]
  step= 216,744  1 eps: Mayar:1L  ret=  82.20  len= 1256  WR[Coac=0% Maya=0%]
  step= 223,512  1 eps: Mayar:1L  ret=  94.20  len= 1275  WR[Coac=0% Maya=0%]
  step= 223,560  2 eps: POWor:1L Rando:1W  ret=  95.70  len= 1970  WR[Coac=0% Maya=0%]
  step= 224,352  1 eps: CoacA:1L  ret=  28.20  len=  867  WR[Coac=0% Maya=0%]
  step= 224,376  1 eps: Mayar:1L  ret=  11.20  len=  864  WR[Coac=0% Maya=0%]
  step= 224,496  1 eps: CoacA:1L  ret=  30.00  len=  894  WR[Coac=0% Maya=0%]
  step= 225,000  1 eps: POWor:1L  ret=   6.20  len=  460  WR[Coac=0% Maya=0%]
  step= 226,536  1 eps: CoacA:1L  ret=  37.00  len= 1020  WR[Coac=0% Maya=0%]
  step= 227,688  1 eps: Mayar:1L  ret=   7.20  len=  823  WR[Coac=0% Maya=0%]
  step= 227,928  1 eps: CoacA:1L  ret=  42.00  len= 1033  WR[Coac=0% Maya=0%]
  step= 230,760  1 eps: POLig:1L  ret=  58.00  len=  926  WR[Coac=0% Maya=0%]
  step= 231,792  1 eps: CoacA:1L  ret=  34.20  len=  942  WR[Coac=0% Maya=0%]
  step= 232,080  1 eps: POLig:1L  ret=  36.20  len=  964  WR[Coac=0% Maya=0%]
  step= 232,128  1 eps: CoacA:1L  ret=  13.20  len=  868  WR[Coac=0% Maya=0%]
  step= 232,584  1 eps: CoacA:1L  ret=  29.00  len=  966  WR[Coac=0% Maya=0%]
