
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     aux_spatial_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,723,717 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Aux task:     spatial (coef=0.1)
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/aux_spatial_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/aux_spatial_s3/config.json

  step= 136,752  1 eps: Mayar:1L P1  ret=  66.20  len= 1180  WR[Coac=0%]
  step= 138,600  1 eps: Worke:1L P0  ret=   8.40  len=  510  WR[Coac=0%]
  step= 138,648  1 eps: CoacA:1L P1  ret=  34.00  len=  850  WR[Coac=0%]
  step= 138,744  2 eps: Mayar:1L P0 Light:1L P1  ret=  80.00  len= 1393  WR[Coac=0%]
  step= 139,560  1 eps: Mayar:1L P1  ret=  -1.80  len=  865  WR[Coac=0%]
  step= 141,000  1 eps: Worke:1L P0  ret=   0.20  len=  580  WR[Coac=0%]
  step= 141,360  1 eps: Mayar:1L P1  ret=  30.20  len=  968  WR[Coac=0%]
  step= 141,864  1 eps: Mayar:1L P0  ret=  65.00  len= 1527  WR[Coac=0%]
  step= 142,560  1 eps: CoacA:1L P0  ret=  25.20  len=  894  WR[Coac=0%]
  step= 143,400  1 eps: Mayar:1L P1  ret=   8.20  len=  831  WR[Coac=0%]
  step= 143,496  1 eps: CoacA:1L P0  ret=  43.20  len= 1109  WR[Coac=0%]
  step= 145,704  1 eps: CoacA:1L P0  ret=   2.20  len=  820  WR[Coac=0%]
  step= 146,568  1 eps: CoacA:1L P0  ret=  44.60  len=  895  WR[Coac=0%]
  step= 147,408  1 eps: CoacA:1L P0  ret=  -2.80  len=  792  WR[Coac=0%]
  step= 148,008  1 eps: Mayar:1L P1  ret=  11.20  len=  946  WR[Coac=0% Maya=0%]
  step= 148,512  1 eps: Light:1L P0  ret=  49.00  len=  941  WR[Coac=0% Maya=0%]
  step= 149,472  1 eps: CoacA:1L P0  ret=  10.20  len=  900  WR[Coac=0% Maya=0%]
  step= 150,000  1 eps: Worke:1L P1  ret=   0.20  len=  475  WR[Coac=0% Maya=0%]
  step= 150,864  1 eps: CoacA:1L P0  ret=  50.20  len= 1023  WR[Coac=0% Maya=0%]
  step= 153,648  1 eps: Mayar:1L P1  ret=  53.20  len= 1200  WR[Coac=0% Maya=0%]
  step= 156,720  1 eps: CoacA:1L P1  ret=  27.20  len=  859  WR[Coac=0% Maya=0%]
  step= 156,864  1 eps: Mayar:1L P0  ret=   4.20  len=  838  WR[Coac=0% Maya=0%]
  step= 158,832  1 eps: Mayar:1L P0  ret=   5.20  len=  803  WR[Coac=0% Maya=0%]
  step= 160,488  1 eps: Mayar:1L P1  ret=  47.20  len= 1144  WR[Coac=0% Maya=0%]
  step= 160,968  1 eps: Mayar:1L P0  ret=  16.20  len=  817  WR[Coac=0% Maya=0%]
  step= 161,160  1 eps: Rando:1W P1  ret= 170.00  len= 2715  WR[Coac=0% Maya=0%]
  step= 161,496  1 eps: CoacA:1L P1  ret=  -5.80  len=  750  WR[Coac=0% Maya=0%]
  step= 162,264  1 eps: Light:1L P0  ret=  50.00  len=  980  WR[Coac=0% Maya=0%]
  step= 162,600  1 eps: CoacA:1L P0  ret=  24.20  len=  998  WR[Coac=0% Maya=0%]
  step= 163,512  1 eps: CoacA:1L P1  ret=  34.00  len=  873  WR[Coac=0% Maya=0%]
  step= 163,824  1 eps: CoacA:1L P1  ret=  -5.80  len=  755  WR[Coac=0% Maya=0%]
  step= 165,672  1 eps: Mayar:1L P1  ret=  63.40  len= 1122  WR[Coac=0% Maya=0%]
  step= 166,968  1 eps: Light:1L P1  ret=  22.20  len=  769  WR[Coac=0% Maya=0%]
  step= 167,736  1 eps: CoacA:1L P1  ret=  33.20  len=  882  WR[Coac=0% Maya=0%]
  step= 168,096  1 eps: Mayar:1L P1  ret=  50.00  len= 1093  WR[Coac=0% Maya=0%]
  step= 168,768  1 eps: CoacA:1L P1  ret=  26.20  len=  804  WR[Coac=0% Maya=0%]
  step= 169,224  1 eps: Mayar:1L P0  ret=  16.20  len=  884  WR[Coac=0% Maya=0%]
  step= 169,776  1 eps: CoacA:1L P1  ret=  58.20  len=  932  WR[Coac=0% Maya=0%]
  step= 171,768  1 eps: CoacA:1L P1  ret=  40.00  len=  871  WR[Coac=0% Maya=0%]
  step= 172,536  1 eps: Mayar:1L P0  ret=  72.20  len= 1214  WR[Coac=0% Maya=0%]
  step= 173,520  1 eps: Mayar:1L P0  ret=   2.20  len=  828  WR[Coac=0% Maya=0%]
  step= 175,080  1 eps: Rando:1L P1  ret=   1.20  len= 3580  WR[Coac=0% Maya=0%]
  step= 178,632  1 eps: CoacA:1L P0  ret=  45.20  len=  913  WR[Coac=0% Maya=0%]
  step= 182,064  1 eps: CoacA:1L P1  ret=  39.40  len=  811  WR[Coac=0% Maya=0%]
  step= 183,840  1 eps: Mayar:1L P1  ret=  41.20  len=  953  WR[Coac=0% Maya=0%]
  step= 184,176  1 eps: CoacA:1L P0  ret=  43.20  len=  945  WR[Coac=0% Maya=0%]
  step= 185,208  1 eps: Light:1L P1  ret=  39.00  len=  956  WR[Coac=0% Maya=0%]
  step= 185,736  1 eps: Mayar:1L P0  ret=  26.20  len=  836  WR[Coac=0% Maya=0%]
  step= 186,600  1 eps: CoacA:1L P0  ret=  43.40  len=  949  WR[Coac=0% Maya=0%]
  step= 188,520  1 eps: CoacA:1L P0  ret=  48.00  len= 1042  WR[Coac=0% Maya=0%]
  step= 189,240  1 eps: Worke:1L P1  ret= 143.20  len= 2010  WR[Coac=0% Maya=0%]
  step= 189,528  1 eps: CoacA:1L P0  ret=  37.00  len=  908  WR[Coac=0% Maya=0%]
  step= 189,888  1 eps: Mayar:1L P0  ret=  68.20  len= 1225  WR[Coac=0% Maya=0%]
  step= 190,056  1 eps: CoacA:1L P0  ret=   2.20  len=  845  WR[Coac=0% Maya=0%]
  step= 190,560  1 eps: Light:1L P0  ret=  55.20  len=  983  WR[Coac=0% Maya=0%]
  step= 190,896  1 eps: Rando:1W P0  ret= 137.20  len= 1239  WR[Coac=0% Maya=0%]
  step= 191,400  1 eps: Worke:1L P0  ret= 123.00  len= 1725  WR[Coac=0% Maya=0%]
  step= 191,640  1 eps: CoacA:1L P0  ret=  45.20  len=  953  WR[Coac=0% Maya=0%]
  step= 191,832  1 eps: CoacA:1L P0  ret=  14.00  len=  836  WR[Coac=0% Maya=0%]
  step= 192,768  1 eps: Mayar:1L P1  ret=  58.20  len=  981  WR[Coac=0% Maya=0%]
  step= 195,552  1 eps: Mayar:1L P0  ret=  65.00  len= 1144  WR[Coac=0% Maya=0%]
  step= 197,304  1 eps: Mayar:1L P1  ret=  50.20  len= 1032  WR[Coac=0% Maya=0%]
  step= 197,472  1 eps: CoacA:1L P1  ret=  38.80  len=  785  WR[Coac=0% Maya=0%]
  step= 198,360  1 eps: Mayar:1L P1  ret=  94.00  len= 1647  WR[Coac=0% Maya=0%]
  step= 199,080  1 eps: Mayar:1L P1  ret=  67.40  len= 1065  WR[Coac=0% Maya=0%]
  step= 203,520  1 eps: Worke:1L P0  ret=  12.20  len=  595  WR[Coac=0% Maya=0%]
  step= 205,008  1 eps: CoacA:1L P0  ret=  49.20  len=  956  WR[Coac=0% Maya=0%]
  step= 207,216  1 eps: Mayar:1L P1  ret=  32.20  len=  895  WR[Coac=0% Maya=0%]
  step= 207,624  1 eps: Mayar:1L P1  ret= 150.20  len= 2115  WR[Coac=0% Maya=0%]
  step= 207,744  1 eps: CoacA:1L P1  ret=  44.00  len=  982  WR[Coac=0% Maya=0%]
  step= 207,792  1 eps: CoacA:1L P1  ret=  32.20  len=  883  WR[Coac=0% Maya=0%]
  step= 208,608  1 eps: Light:1L P0  ret=  62.00  len=  975  WR[Coac=0% Maya=0%]
  step= 210,288  1 eps: Mayar:1L P0  ret=  51.00  len= 1102  WR[Coac=0% Maya=0%]
  step= 210,480  1 eps: Worke:1L P1  ret=  30.00  len=  795  WR[Coac=0% Maya=0%]
  step= 212,016  1 eps: CoacA:1L P1  ret=  46.20  len=  915  WR[Coac=0% Maya=0%]
  step= 212,064  1 eps: CoacA:1L P1  ret=  45.00  len=  981  WR[Coac=0% Maya=0%]
  step= 212,520  1 eps: CoacA:1L P1  ret=  32.20  len=  958  WR[Coac=0% Maya=0%]
  step= 213,144  1 eps: Light:1L P1  ret=  58.20  len=  941  WR[Coac=0% Maya=0%]
  step= 213,960  1 eps: Worke:1L P1  ret=   4.20  len=  435  WR[Coac=0% Maya=0%]
  step= 214,320  1 eps: CoacA:1L P1  ret=  40.00  len=  937  WR[Coac=0% Maya=0%]
  step= 215,520  1 eps: CoacA:1L P1  ret=  36.20  len=  995  WR[Coac=0% Maya=0%]
  step= 216,192  1 eps: Mayar:1L P1  ret=  61.20  len= 1096  WR[Coac=0% Maya=0%]
  step= 217,536  1 eps: Mayar:1L P0  ret=  23.20  len=  843  WR[Coac=0% Maya=0%]
  step= 222,000  1 eps: Mayar:1L P1  ret=  53.00  len= 1102  WR[Coac=0% Maya=0%]
  step= 222,312  1 eps: Mayar:1L P0  ret=  37.20  len=  968  WR[Coac=0% Maya=0%]
  step= 222,432  1 eps: CoacA:1L P0  ret=  34.00  len= 1040  WR[Coac=0% Maya=0%]
  step= 225,120  1 eps: Worke:1L P0  ret=  10.20  len=  610  WR[Coac=0% Maya=0%]
  step= 225,576  1 eps: CoacA:1L P1  ret=  46.60  len=  857  WR[Coac=0% Maya=0%]
  step= 226,032  1 eps: Rando:1W P0  ret= 144.20  len= 2123  WR[Coac=0% Maya=0%]
  step= 227,064  1 eps: CoacA:1L P0  ret=  25.20  len=  805  WR[Coac=0% Maya=0%]
  step= 228,264  1 eps: Mayar:1L P0  ret=  62.00  len= 1246  WR[Coac=0% Maya=0%]
  step= 228,672  1 eps: Mayar:1L P0  ret=  17.20  len=  894  WR[Coac=0% Maya=0%]
  step= 228,816  1 eps: Light:1L P1  ret=  43.00  len=  842  WR[Coac=0% Maya=0%]
  step= 228,864  1 eps: CoacA:1L P0  ret=  42.00  len=  878  WR[Coac=0% Maya=0%]
  step= 232,848  1 eps: Mayar:1L P0  ret=  45.00  len= 1051  WR[Coac=0% Maya=0%]
  step= 233,040  1 eps: Worke:1L P0  ret=  57.00  len=  795  WR[Coac=0% Maya=0%]
  step= 233,640  1 eps: CoacA:1L P0  ret=  37.00  len=  899  WR[Coac=0% Maya=0%]
  step= 234,384  1 eps: CoacA:1L P0  ret=  45.80  len=  932  WR[Coac=0% Maya=0%]
