
============================================================
  PPO + impala_entity  —  MicroRTS
============================================================
  Exp name:     impala_entity_s3
  Seed:         3
  Architecture: impala_entity (1,371,311 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  100,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      8138
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/impala_entity_s3
  Eval every:   ~10.0M steps (813 updates)
  Eval bots:    RandomBiasedAI, WorkerRush, LightRush, CoacAI, Mayari (10 games each)
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/impala_entity_s3/config.json

  step=  75,336  1 eps: CoacA:1L P1  ret=  -5.80  len=  722  WR[warming up...]
  step=  75,672  1 eps: CoacA:1L P1  ret=  -5.80  len=  758  WR[warming up...]
  step=  76,464  1 eps: CoacA:1L P1  ret=  18.00  len=  810  WR[warming up...]
  step=  76,656  1 eps: Light:1L P1  ret=   9.00  len=  815  WR[warming up...]
  step=  76,680  1 eps: CoacA:1L P1  ret=   0.00  len=  821  WR[warming up...]
  step=  77,064  1 eps: CoacA:1L P1  ret=   3.00  len=  801  WR[warming up...]
  step=  77,712  1 eps: Mayar:1L P1  ret=  -8.80  len=  852  WR[warming up...]
  step=  77,880  1 eps: Worke:1L P1  ret=  11.00  len=  500  WR[warming up...]
  step=  78,456  1 eps: CoacA:1L P1  ret=  10.00  len=  799  WR[warming up...]
  step=  78,960  2 eps: Mayar:1L P1 Rando:1L P0  ret=  19.60  len= 2115  WR[warming up...]
  step=  79,248  1 eps: CoacA:1L P1  ret=   1.00  len=  815  WR[warming up...]
  step=  79,344  1 eps: Mayar:1L P1  ret=   5.20  len=  751  WR[warming up...]
  step=  79,632  1 eps: CoacA:1L P1  ret=   1.00  len=  798  WR[warming up...]
  step=  80,448  1 eps: Mayar:1L P1  ret=  34.00  len= 1059  WR[warming up...]
  step=  81,720  1 eps: Mayar:1L P1  ret=  -3.00  len=  913  WR[warming up...]
  step=  84,000  1 eps: Mayar:1L P1  ret=   8.00  len=  924  WR[warming up...]
  step=  84,408  1 eps: Mayar:1L P1  ret=  -5.80  len=  776  WR[warming up...]
  step=  85,032  1 eps: Mayar:1L P1  ret=  19.00  len=  973  WR[warming up...]
  step=  86,400  1 eps: Worke:1L P0  ret=  21.00  len=  695  WR[warming up...]
  step=  89,760  1 eps: Worke:1L P0  ret=  13.00  len=  495  WR[warming up...]
  step=  90,480  1 eps: Light:1L P0  ret=  28.00  len=  845  WR[warming up...]
  step=  92,184  1 eps: CoacA:1L P0  ret=  26.00  len=  792  WR[warming up...]
  step=  93,240  1 eps: Light:1L P0  ret=   4.20  len=  691  WR[warming up...]
  step=  93,888  1 eps: Mayar:1L P0  ret=  -1.80  len=  806  WR[warming up...]
  step=  96,000  1 eps: Rando:1D P0  ret=  92.00  len= 4000  WR[warming up...]
  step=  96,048  1 eps: CoacA:1L P0  ret=   8.20  len=  816  WR[warming up...]
  step=  96,672  1 eps: CoacA:1L P0  ret=   8.20  len=  875  WR[warming up...]
  step=  96,840  1 eps: Mayar:1L P0  ret=  -5.80  len=  745  WR[warming up...]
  step=  97,320  1 eps: Worke:1L P1  ret=  12.00  len=  455  WR[warming up...]
  step=  97,920  1 eps: CoacA:1L P0  ret=  19.00  len=  885  WR[warming up...]
  step=  98,328  1 eps: CoacA:1L P0  ret=  -8.80  len=  828  WR[warming up...]
  step=  98,520  1 eps: CoacA:1L P0  ret=  26.00  len=  966  WR[warming up...]
  step=  98,856  1 eps: CoacA:1L P0  ret=  13.00  len=  817  WR[warming up...]
  step=  99,552  1 eps: CoacA:1L P0  ret=  15.00  len=  830  WR[warming up...]
  step=  99,768  1 eps: Mayar:1L P0  ret=  18.00  len=  919  WR[warming up...]
  step= 100,464  1 eps: CoacA:1L P0  ret=  24.00  len=  975  WR[warming up...]
  step= 102,096  1 eps: Mayar:1L P0  ret=  16.00  len=  849  WR[warming up...]
  step= 102,336  1 eps: Mayar:1L P0  ret=  21.00  len=  958  WR[warming up...]
  step= 104,376  1 eps: Mayar:1L P0  ret=  32.00  len=  997  WR[warming up...]
  step= 105,120  1 eps: Worke:1L P1  ret=  27.00  len=  640  WR[warming up...]
  step= 106,920  1 eps: Mayar:1L P0  ret=  27.00  len=  955  WR[warming up...]
  step= 107,040  1 eps: Mayar:1L P0  ret=  27.00  len=  943  WR[warming up...]
  step= 107,400  1 eps: Mayar:1L P0  ret=  16.00  len=  932  WR[warming up...]
  step= 108,216  1 eps: Light:1L P1  ret=  -2.80  len=  624  WR[warming up...]
  step= 110,256  1 eps: CoacA:1L P1  ret=   8.00  len=  753  WR[warming up...]
  step= 111,816  1 eps: Light:1L P1  ret=  26.00  len=  889  WR[warming up...]
  step= 112,560  1 eps: Worke:1L P0  ret=  20.00  len=  635  WR[warming up...]
  step= 113,256  1 eps: CoacA:1L P1  ret=  -8.80  len=  717  WR[warming up...]
  step= 113,400  1 eps: Rando:1W P1  ret=  53.00  len= 1435  WR[warming up...]
  step= 113,760  1 eps: Worke:1L P0  ret=  -6.80  len=  360  WR[warming up...]
  step= 115,080  1 eps: CoacA:1L P1  ret=  11.00  len=  767  WR[warming up...]
  step= 115,392  1 eps: Mayar:1L P1  ret=   1.00  len=  896  WR[warming up...]
  step= 115,800  1 eps: CoacA:1L P1  ret=   0.20  len=  745  WR[warming up...]
  step= 116,880  1 eps: CoacA:1L P1  ret=  -2.80  len=  765  WR[Coac=0%]
  step= 117,528  1 eps: CoacA:1L P1  ret=  27.00  len=  800  WR[Coac=0%]
  step= 118,008  1 eps: CoacA:1L P1  ret=  12.00  len=  798  WR[Coac=0%]
  step= 118,104  1 eps: Mayar:1L P1  ret=  18.00  len=  886  WR[Coac=0%]
  step= 119,688  1 eps: CoacA:1L P1  ret=  14.00  len=  839  WR[Coac=0%]
  step= 120,024  1 eps: CoacA:1L P1  ret=  33.00  len=  815  WR[Coac=0%]
  step= 120,336  1 eps: Mayar:1L P1  ret=  19.00  len=  857  WR[Coac=0%]
  step= 120,408  1 eps: Mayar:1L P1  ret=  -6.80  len=  753  WR[Coac=0%]
  step= 122,568  1 eps: Mayar:1L P1  ret=  11.20  len=  853  WR[Coac=0% Maya=0%]
  step= 125,184  1 eps: Mayar:1L P1  ret=  22.00  len=  867  WR[Coac=0% Maya=0%]
  step= 127,560  1 eps: Worke:1L P1  ret=  17.00  len=  625  WR[Coac=0% Maya=0%]
  step= 127,680  1 eps: Light:1L P0  ret=  23.00  len=  811  WR[Coac=0% Maya=0%]
  step= 128,112  1 eps: Mayar:1L P1  ret=  -5.80  len=  883  WR[Coac=0% Maya=0%]
  step= 130,056  1 eps: CoacA:1L P0  ret=  -5.80  len=  825  WR[Coac=0% Maya=0%]
  step= 131,808  2 eps: Mayar:2L P1  ret=  18.50  len= 1024  WR[Coac=0% Maya=0%]
  step= 134,400  1 eps: CoacA:1L P0  ret=   7.20  len=  805  WR[Coac=0% Maya=0%]
  step= 134,424  1 eps: Light:1L P0  ret=  35.00  len=  942  WR[Coac=0% Maya=0%]
  step= 135,648  1 eps: CoacA:1L P0  ret=  21.00  len=  933  WR[Coac=0% Maya=0%]
