
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     pae_s3
  Seed:         3
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  PAE:          keep first 486/512 steps (95%)
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s3
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/pae_s3/config.json

  step=  88,320  1 eps: CoacA:1L P1  ret=   6.00  len=  789  WR[warming up...]
  step=  88,440  1 eps: CoacA:1L P1  ret=  30.00  len=  905  WR[warming up...]
  step=  89,424  1 eps: Mayar:1L P1  ret=   5.20  len=  844  WR[warming up...]
  step=  90,600  1 eps: Mayar:1L P1  ret=   6.20  len=  865  WR[warming up...]
  step=  92,088  1 eps: Mayar:1L P1  ret=  11.20  len=  865  WR[warming up...]
  step=  94,200  1 eps: Worke:1L P1  ret=  31.00  len=  940  WR[warming up...]
  step=  96,000  1 eps: Rando:1D P0  ret= 147.00  len= 4000  WR[warming up...]
  step=  99,120  1 eps: CoacA:1L P0  ret=  -6.80  len=  797  WR[warming up...]
  step= 101,856  1 eps: Mayar:1L P1  ret=  16.20  len= 1054  WR[warming up...]
  step= 101,928  1 eps: Mayar:1L P1  ret=  36.20  len= 1041  WR[warming up...]
  step= 102,312  1 eps: CoacA:1L P0  ret=  -4.80  len=  733  WR[warming up...]
  step= 102,456  1 eps: Light:1L P0  ret=  36.20  len= 1006  WR[warming up...]
  step= 102,840  1 eps: Worke:1L P0  ret=  -5.80  len=  360  WR[warming up...]
  step= 103,608  1 eps: Mayar:1L P1  ret=  34.00  len=  995  WR[warming up...]
  step= 103,656  1 eps: CoacA:1L P0  ret=  32.20  len=  818  WR[warming up...]
  step= 104,736  1 eps: CoacA:1L P0  ret=  32.20  len=  965  WR[warming up...]
  step= 104,808  1 eps: Mayar:1L P0  ret=  11.20  len=  941  WR[warming up...]
  step= 106,128  1 eps: CoacA:1L P0  ret=  42.00  len=  900  WR[warming up...]
  step= 106,440  1 eps: CoacA:1L P0  ret=  24.20  len=  953  WR[warming up...]
  step= 107,280  1 eps: Worke:1L P0  ret=  27.00  len=  835  WR[warming up...]
  step= 107,664  1 eps: Light:1L P0  ret=  66.40  len=  969  WR[warming up...]
  step= 107,808  2 eps: CoacA:1L P0 Mayar:1L P0  ret=  34.00  len=  969  WR[warming up...]
  step= 109,728  1 eps: CoacA:1L P0  ret=  24.20  len=  887  WR[warming up...]
  step= 110,568  1 eps: CoacA:1L P0  ret=  42.60  len=  927  WR[warming up...]
  step= 110,688  1 eps: Mayar:1L P0  ret=  -0.80  len=  775  WR[warming up...]
  step= 116,904  1 eps: Mayar:1L P0  ret=  49.00  len= 1449  WR[warming up...]
  step= 117,120  1 eps: Worke:1L P1  ret=  16.20  len=  595  WR[warming up...]
  step= 118,992  1 eps: CoacA:1L P1  ret=  36.00  len=  828  WR[warming up...]
  step= 119,400  1 eps: Worke:1L P1  ret=  25.20  len=  505  WR[warming up...]
  step= 122,688  1 eps: CoacA:1L P1  ret=  35.20  len=  849  WR[warming up...]
  step= 123,192  1 eps: Light:1L P1  ret=  55.20  len=  864  WR[warming up...]
  step= 125,064  1 eps: CoacA:1L P1  ret=   5.20  len=  719  WR[warming up...]
  step= 125,088  1 eps: Mayar:1L P0  ret=  78.00  len= 1437  WR[warming up...]
  step= 125,184  1 eps: Light:1L P1  ret=  -5.80  len=  730  WR[warming up...]
  step= 125,952  1 eps: CoacA:1L P1  ret=  27.00  len=  826  WR[warming up...]
  step= 126,096  1 eps: CoacA:1L P1  ret=  29.00  len=  890  WR[Coac=0%]
  step= 127,152  1 eps: Mayar:1L P0  ret=  83.00  len= 1572  WR[Coac=0%]
  step= 127,560  1 eps: Mayar:1L P1  ret=   4.20  len=  823  WR[Coac=0%]
  step= 127,776  1 eps: CoacA:1L P1  ret=  16.20  len=  889  WR[Coac=0%]
  step= 128,304  1 eps: Mayar:1L P0  ret=  53.00  len= 1099  WR[Coac=0%]
  step= 128,376  1 eps: Mayar:1L P1  ret=  17.00  len=  982  WR[Coac=0%]
  step= 129,240  1 eps: Mayar:1L P0  ret=  62.40  len= 1068  WR[Coac=0%]
  step= 130,224  1 eps: CoacA:1L P1  ret=  40.00  len=  819  WR[Coac=0%]
  step= 130,272  1 eps: CoacA:1L P1  ret=  52.20  len= 1109  WR[Coac=0%]
  step= 130,464  1 eps: CoacA:1L P1  ret=  23.00  len=  864  WR[Coac=0%]
  step= 134,568  1 eps: Mayar:1L P1  ret=  47.00  len=  995  WR[Coac=0%]
  step= 136,440  1 eps: Worke:1L P0  ret=  30.00  len=  805  WR[Coac=0%]
  step= 138,816  1 eps: Mayar:1L P0  ret=  79.00  len= 1540  WR[Coac=0%]
  step= 139,920  1 eps: Worke:1L P0  ret=  35.00  len=  855  WR[Coac=0%]
  step= 142,992  1 eps: CoacA:1L P0  ret=  52.20  len= 1000  WR[Coac=0%]
  step= 143,064  1 eps: Light:1L P0  ret=  16.20  len=  828  WR[Coac=0%]
  step= 144,528  1 eps: CoacA:1L P0  ret=  -5.80  len=  811  WR[Coac=0%]
  step= 144,912  1 eps: Light:1L P0  ret=  48.00  len=  822  WR[Coac=0%]
  step= 145,824  1 eps: Mayar:1L P1  ret=  -4.80  len=  864  WR[Coac=0%]
  step= 147,120  1 eps: Rando:1W P1  ret= 237.00  len= 3935  WR[Coac=0%]
  step= 147,576  1 eps: CoacA:1L P0  ret=  58.20  len= 1037  WR[Coac=0%]
  step= 147,864  1 eps: Mayar:1L P0  ret=  -3.80  len=  812  WR[Coac=0% Maya=0%]
  step= 147,888  1 eps: Mayar:1L P1  ret=   2.20  len=  864  WR[Coac=0% Maya=0%]
  step= 148,488  1 eps: Mayar:1L P0  ret=  30.20  len=  872  WR[Coac=0% Maya=0%]
  step= 148,680  1 eps: Rando:1W P1  ret= 143.00  len= 2195  WR[Coac=0% Maya=0%]
  step= 148,968  1 eps: CoacA:1L P0  ret=   7.20  len=  771  WR[Coac=0% Maya=0%]
