
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     autoregressive_s1
  Seed:         1
  Architecture: unet_entity_cbam_deep (channels=48) (4,750,673 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Auto-reg:     embed_dim=8
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/autoregressive_s1
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/autoregressive_s1/config.json

  step= 130,848  1 eps: CoacA:1L  ret=  33.00  len=  978  WR[Coac=0%]
  step= 130,920  1 eps: Mayar:1L  ret=   9.20  len=  788  WR[Coac=0%]
  step= 132,840  1 eps: Mayar:1L  ret=  10.20  len=  789  WR[Coac=0%]
  step= 134,304  1 eps: Mayar:1L  ret=  87.00  len= 1477  WR[Coac=0%]
  step= 134,760  1 eps: CoacA:1L  ret=  34.00  len=  889  WR[Coac=0%]
  step= 135,240  1 eps: Mayar:1L  ret=  69.00  len= 1645  WR[Coac=0%]
  step= 136,440  1 eps: CoacA:1L  ret=  52.20  len= 1019  WR[Coac=0%]
  step= 136,896  1 eps: Mayar:1L  ret=  66.00  len= 1249  WR[Coac=0%]
  step= 138,384  1 eps: CoacA:1L  ret=  13.20  len=  876  WR[Coac=0%]
  step= 138,720  1 eps: Worke:1L  ret=   2.20  len=  545  WR[Coac=0%]
  step= 140,208  1 eps: Mayar:1L  ret=  54.00  len= 1033  WR[Coac=0% Maya=0%]
  step= 140,592  1 eps: Mayar:1L  ret=  24.20  len=  842  WR[Coac=0% Maya=0%]
  step= 140,904  1 eps: CoacA:1L  ret=   5.20  len=  781  WR[Coac=0% Maya=0%]
  step= 141,456  1 eps: CoacA:1L  ret=  37.00  len=  891  WR[Coac=0% Maya=0%]
  step= 146,208  1 eps: CoacA:1L  ret=  39.20  len=  977  WR[Coac=0% Maya=0%]
  step= 147,384  1 eps: CoacA:1L  ret=  51.20  len= 1041  WR[Coac=0% Maya=0%]
  step= 147,816  1 eps: Mayar:1L  ret=  -1.80  len=  764  WR[Coac=0% Maya=0%]
  step= 148,200  1 eps: Worke:1L  ret=  75.60  len= 1125  WR[Coac=0% Maya=0%]
  step= 150,000  1 eps: Worke:1L  ret=  -3.80  len=  470  WR[Coac=0% Maya=0%]
  step= 150,216  1 eps: Light:1L  ret=  51.00  len= 1044  WR[Coac=0% Maya=0%]
  step= 150,312  1 eps: Light:1L  ret=  44.00  len= 1007  WR[Coac=0% Maya=0%]
  step= 150,336  1 eps: Mayar:1L  ret=  16.20  len=  809  WR[Coac=0% Maya=0%]
  step= 150,360  1 eps: CoacA:1L  ret=  46.00  len=  985  WR[Coac=0% Maya=0%]
  step= 150,624  1 eps: CoacA:1L  ret=   6.20  len=  824  WR[Coac=0% Maya=0%]
  step= 153,240  1 eps: Rando:1W  ret= 135.00  len= 2385  WR[Coac=0% Maya=0%]
  step= 155,568  1 eps: Mayar:1L  ret=   2.20  len=  847  WR[Coac=0% Maya=0%]
  step= 157,584  1 eps: Mayar:1L  ret=  35.00  len=  970  WR[Coac=0% Maya=0%]
