
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     baseline_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/baseline_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/baseline_s2/config.json

  step=  80,736  1 eps: Light:1L  ret=   8.20  len=  714  WR[warming up...]
  step=  80,952  1 eps: CoacA:1L  ret=  38.00  len=  842  WR[warming up...]
  step=  80,976  1 eps: CoacA:1L  ret=  35.00  len=  875  WR[warming up...]
  step=  81,432  1 eps: CoacA:1L  ret=  36.00  len=  875  WR[warming up...]
  step=  81,504  1 eps: CoacA:1L  ret=  30.00  len=  865  WR[warming up...]
  step=  82,632  1 eps: CoacA:1L  ret=  22.00  len=  827  WR[warming up...]
  step=  82,920  1 eps: Rando:1W  ret= 144.00  len= 3455  WR[warming up...]
  step=  83,136  1 eps: Mayar:1L  ret=  -4.80  len=  753  WR[warming up...]
  step=  84,936  1 eps: Light:1L  ret=  53.00  len=  984  WR[warming up...]
  step=  85,488  1 eps: CoacA:1L  ret=  24.00  len=  812  WR[warming up...]
  step=  90,456  1 eps: Mayar:1L  ret=   2.20  len=  803  WR[warming up...]
  step=  91,200  1 eps: Worke:1L  ret=  48.00  len=  965  WR[warming up...]
  step=  91,344  1 eps: Mayar:1L  ret=  54.00  len= 1013  WR[warming up...]
  step=  92,016  1 eps: Mayar:1L  ret=  44.00  len= 1018  WR[warming up...]
  step=  93,720  1 eps: Mayar:1L  ret=  37.40  len=  818  WR[warming up...]
  step=  95,376  1 eps: CoacA:1L  ret=  -6.80  len=  766  WR[warming up...]
  step=  95,616  1 eps: Mayar:1L  ret=  55.00  len= 1220  WR[warming up...]
  step=  97,896  1 eps: Mayar:1L  ret=   6.20  len=  739  WR[warming up...]
  step=  99,912  1 eps: CoacA:1L  ret=  -8.80  len=  790  WR[warming up...]
  step= 100,032  1 eps: CoacA:1L  ret=   7.20  len=  775  WR[warming up...]
  step= 100,200  1 eps: CoacA:1L  ret=  -5.80  len=  779  WR[warming up...]
  step= 100,416  1 eps: CoacA:1L  ret=  21.00  len=  892  WR[warming up...]
  step= 100,488  1 eps: Light:1L  ret=  28.00  len=  823  WR[warming up...]
  step= 100,728  1 eps: Mayar:1L  ret=  -4.80  len=  733  WR[warming up...]
  step= 101,136  1 eps: Mayar:1L  ret=  63.00  len= 1093  WR[warming up...]
  step= 102,000  1 eps: CoacA:1L  ret=  -1.80  len=  876  WR[warming up...]
  step= 102,288  1 eps: CoacA:1L  ret=  -5.80  len=  819  WR[warming up...]
  step= 103,344  1 eps: CoacA:1L  ret=  37.00  len=  967  WR[warming up...]
  step= 106,800  1 eps: Light:1L  ret=  48.00  len=  911  WR[warming up...]
  step= 106,920  1 eps: CoacA:1L  ret=  30.20  len=  893  WR[warming up...]
  step= 110,040  1 eps: Mayar:1L  ret=   0.20  len=  816  WR[warming up...]
