
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     feats_buildtime_rewards_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) (4,722,491 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 6.0, 5.25, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  2
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_buildtime_rewards_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/feats_buildtime_rewards_s2/config.json

  step=  85,248  1 eps: CoacA:1L P1  ret=  36.00  len=  827  WR[warming up...]
  step=  86,256  1 eps: Mayar:1L P1  ret=   9.20  len=  715  WR[warming up...]
  step=  88,080  1 eps: Mayar:1L P1  ret=  19.20  len=  867  WR[warming up...]
  step=  90,408  1 eps: POLig:1L P1  ret=  48.00  len= 1019  WR[warming up...]
  step=  90,480  1 eps: POWor:1L P0  ret=  49.00  len= 1005  WR[warming up...]
  step=  91,056  1 eps: Mayar:1L P1  ret=  32.45  len=  900  WR[warming up...]
  step=  92,160  1 eps: POWor:1L P0  ret=  24.00  len=  505  WR[warming up...]
  step=  94,464  1 eps: Mayar:1L P1  ret=  46.00  len= 1113  WR[warming up...]
  step=  95,496  1 eps: POLig:1L P0  ret=  -5.80  len=  757  WR[warming up...]
  step=  96,000  1 eps: Rando:1D P0  ret= 182.00  len= 4000  WR[warming up...]
  step=  96,720  1 eps: Mayar:1L P0  ret=  31.20  len=  884  WR[warming up...]
  step=  98,712  2 eps: CoacA:1L P0 Mayar:1L P1  ret=  18.60  len=  989  WR[warming up...]
  step=  99,672  1 eps: Mayar:1L P1  ret=  46.00  len= 1084  WR[warming up...]
  step= 100,080  1 eps: CoacA:1L P0  ret=  36.00  len=  935  WR[warming up...]
  step= 100,320  1 eps: POWor:1L P1  ret=   2.20  len=  410  WR[warming up...]
  step= 102,552  1 eps: CoacA:1L P0  ret=  42.00  len=  964  WR[warming up...]
  step= 102,912  1 eps: Mayar:1L P0  ret=  -5.80  len=  751  WR[warming up...]
  step= 103,008  1 eps: CoacA:1L P0  ret=   1.20  len=  802  WR[warming up...]
  step= 103,080  1 eps: CoacA:1L P0  ret=  39.20  len=  958  WR[warming up...]
  step= 105,624  1 eps: CoacA:1L P0  ret=  30.20  len=  949  WR[warming up...]
  step= 106,104  1 eps: CoacA:1L P0  ret=  43.00  len= 1073  WR[warming up...]
  step= 106,968  1 eps: CoacA:1L P0  ret=  33.20  len=  905  WR[warming up...]
  step= 107,928  1 eps: Mayar:1L P0  ret=  21.20  len=  827  WR[warming up...]
