
============================================================
  PPO + unet_entity_cbam_deep  —  MicroRTS
============================================================
  Exp name:     spp_critic_s2
  Seed:         2
  Architecture: unet_entity_cbam_deep (channels=48) [SPP-critic] (4,804,411 params)
  Opponents:    diverse (rush_per_type=2)
  Bot envs:     24
  Opp log win:  50
  Self-play:    0
  Map:          maps/open_competition/basesWorkers16x16A.xml
  Max steps:    4000
  Partial obs:  False
  P0/P1:        alternate each episode
  Total steps:  50,000,000
  Batch size:   12288 (512 steps x 24 envs)
  Minibatches:  3
  PPO epochs:   2
  Updates:      4069
  LR:           0.00025 -> 0.0 (annealed)
  Gamma:        0.99
  GAE lambda:   0.95
  Clip coef:    0.1
  Clip vloss:   True
  Max grad:     0.5
  Norm adv:     True
  Entropy:      0.01 -> 0.001
  Reward:       [10.0, 1.0, 1.0, 0.2, 0.2, 1.0, 4.0, 4.0, 4.0, 0.0]
  VF coef:      0.5
  Device:       cuda
  Checkpoints:  100
  Run dir:      /home/users/m/d/mdelsart/MasterThesis/outputs/runs/spp_critic_s2
============================================================

Device: cuda
Config: /home/users/m/d/mdelsart/MasterThesis/outputs/runs/spp_critic_s2/config.json

  step=  86,376  1 eps: Mayar:1L  ret=  24.00  len=  901  WR[warming up...]
  step=  87,048  1 eps: Mayar:1L  ret=  23.00  len=  923  WR[warming up...]
  step=  87,360  1 eps: CoacA:1L  ret=  11.00  len=  895  WR[warming up...]
  step=  88,488  1 eps: Mayar:1L  ret=  44.00  len= 1055  WR[warming up...]
  step=  89,040  1 eps: Mayar:1L  ret=  37.00  len= 1043  WR[warming up...]
  step=  89,088  1 eps: Light:1L  ret=  37.00  len=  983  WR[warming up...]
  step=  89,880  1 eps: Light:1L  ret=  20.00  len=  980  WR[warming up...]
  step=  91,512  1 eps: Mayar:1L  ret=  39.00  len= 1107  WR[warming up...]
  step=  95,304  1 eps: Mayar:1L  ret=  52.00  len=  982  WR[warming up...]
  step=  95,376  1 eps: Mayar:1L  ret=  51.00  len= 1014  WR[warming up...]
  step=  96,000  2 eps: Rando:2D  ret= 118.00  len= 4000  WR[warming up...]
  step=  97,200  1 eps: CoacA:1L  ret=  -3.80  len=  804  WR[warming up...]
  step=  97,440  1 eps: CoacA:1L  ret=   9.00  len=  799  WR[warming up...]
  step=  99,192  1 eps: Mayar:1L  ret=  50.00  len= 1083  WR[warming up...]
  step=  99,696  1 eps: CoacA:1L  ret=  16.00  len=  880  WR[warming up...]
  step= 101,736  1 eps: CoacA:1L  ret=  -6.80  len=  825  WR[warming up...]
  step= 101,760  1 eps: Worke:1L  ret=  36.00  len=  815  WR[warming up...]
  step= 103,272  1 eps: CoacA:1L  ret=  20.00  len=  883  WR[warming up...]
  step= 104,160  1 eps: CoacA:1L  ret=   8.00  len=  770  WR[warming up...]
  step= 104,448  1 eps: CoacA:1L  ret=  21.20  len=  882  WR[warming up...]
  step= 104,760  1 eps: Mayar:1L  ret=  -5.80  len=  766  WR[warming up...]
  step= 106,104  1 eps: CoacA:1L  ret=  -2.80  len=  781  WR[warming up...]
  step= 107,784  1 eps: Light:1L  ret=  15.20  len=  779  WR[warming up...]
  step= 109,200  1 eps: CoacA:1L  ret=   7.00  len=  991  WR[warming up...]
  step= 109,776  1 eps: Mayar:1L  ret=  24.00  len=  947  WR[warming up...]
  step= 110,064  1 eps: Mayar:1L  ret=   6.20  len=  876  WR[warming up...]
  step= 112,152  1 eps: Mayar:1L  ret=   8.00  len=  860  WR[warming up...]
  step= 112,776  1 eps: Mayar:1L  ret=  26.00  len= 1012  WR[warming up...]
  step= 113,208  1 eps: Light:1L  ret=  36.00  len=  972  WR[warming up...]
  step= 113,976  1 eps: Mayar:1L  ret=  -0.80  len=  775  WR[warming up...]
  step= 115,320  1 eps: CoacA:1L  ret=  34.00  len=  755  WR[warming up...]
  step= 115,872  1 eps: CoacA:1L  ret=  35.00  len=  768  WR[warming up...]
  step= 117,216  1 eps: Mayar:1L  ret=  60.00  len= 1357  WR[warming up...]
  step= 117,480  1 eps: CoacA:1L  ret=  -5.80  len=  741  WR[warming up...]
  step= 118,656  1 eps: Mayar:1L  ret=  33.00  len=  973  WR[warming up...]
  step= 121,176  1 eps: CoacA:1L  ret=  27.00  len=  810  WR[warming up...]
  step= 123,408  1 eps: CoacA:1L  ret=   2.20  len=  790  WR[Coac=0%]
  step= 123,480  1 eps: CoacA:1L  ret=  34.00  len=  842  WR[Coac=0%]
